iter	RMSE
0	75213.24139
1	73110.5904
2	71153.25837
3	69365.72043
4	67612.88283
5	65943.76569
6	64369.57306
7	63048.17423
8	61684.70126
9	60265.18486
10	58856.8655
11	57448.07564
12	56318.81861
13	55071.73007
14	53997.81443
15	52932.66794
16	51812.40848
17	50710.60767
18	49679.58101
19	48723.07553
20	47811.8263
21	46848.18994
22	45906.42897
23	45070.69705
24	44219.62523
25	43449.87479
26	42561.58135
27	41842.17479
28	41178.41248
29	40505.40664
30	39768.10076
31	39211.99715
32	38637.42833
33	38057.11851
34	37506.88411
35	36917.90927
36	36463.2785
37	36003.29592
38	35557.29961
39	35083.9001
40	34600.13104
41	34188.30999
42	33787.73647
43	33331.37434
44	32904.86391
45	32538.62044
46	32229.23565
47	31901.99305
48	31542.82147
49	31140.81884
50	30838.17694
51	30508.80191
52	30195.03353
53	29928.82994
54	29634.1811
55	29379.77416
56	29152.95648
57	28932.9601
58	28657.87148
59	28430.50519
60	28225.04637
61	27998.67502
62	27743.97011
63	27548.80837
64	27360.49819
65	27116.43811
66	26914.48062
67	26737.91245
68	26534.18504
69	26352.49968
70	26172.17584
71	25948.36487
72	25759.64105
73	25638.4748
74	25439.48678
75	25253.3087
76	25053.23461
77	24904.055
78	24722.77612
79	24554.8224
80	24393.05954
81	24248.47862
82	24126.37063
83	23981.39033
84	23805.68298
85	23685.85557
86	23574.29297
87	23414.96666
88	23293.64741
89	23179.94068
90	23074.26358
91	22922.90159
92	22797.24489
93	22712.08588
94	22611.86644
95	22456.86118
96	22327.83575
97	22247.9053
98	22122.68199
99	21995.30382
100	21905.29733
101	21811.69276
102	21708.07491
103	21641.67845
104	21557.52765
105	21487.5733
106	21388.48804
107	21286.45634
108	21187.91347
109	21111.93751
110	21024.93013
111	20943.40657
112	20847.27322
113	20787.26059
114	20724.17843
115	20643.64565
116	20595.90312
117	20509.55683
118	20410.52582
119	20364.87619
120	20341.92077
121	20272.23632
122	20186.45785
123	20120.13697
124	20044.1951
125	19989.51999
126	19895.6169
127	19823.73169
128	19763.69094
129	19687.68359
130	19641.72931
131	19565.28912
132	19496.78846
133	19411.59336
134	19331.61092
135	19284.64614
136	19231.23633
137	19173.86831
138	19157.44991
139	19113.83858
140	19043.37731
141	18977.13223
142	18919.26046
143	18868.14651
144	18831.21049
145	18787.65195
146	18749.89436
147	18735.30151
148	18692.15245
149	18615.1959
150	18557.15085
151	18490.88036
152	18459.93716
153	18442.10782
154	18421.20251
155	18381.82986
156	18340.00227
157	18278.08495
158	18257.34851
159	18188.87949
160	18176.97523
161	18126.54804
162	18087.62373
163	18068.07022
164	18036.22964
165	17986.35688
166	17968.58549
167	17922.75481
168	17901.69022
169	17868.4549
170	17806.35044
171	17774.63315
172	17736.51458
173	17717.79208
174	17699.9101
175	17679.1049
176	17618.017
177	17571.42194
178	17523.16079
179	17512.3757
180	17484.27614
181	17436.14591
182	17419.39653
183	17407.77643
184	17391.97117
185	17339.82982
186	17304.60326
187	17292.7327
188	17270.19155
189	17216.72238
190	17201.18543
191	17187.48409
192	17142.52058
193	17086.87931
194	17072.99039
195	17062.30411
196	17018.98783
197	16982.55999
198	16938.81095
199	16915.7741
200	16890.38086
201	16876.53576
202	16835.57874
203	16796.6457
204	16764.51899
205	16741.44428
206	16699.87661
207	16690.05716
208	16658.5879
209	16610.42184
210	16570.80267
211	16562.03763
212	16510.48507
213	16461.06656
214	16439.91237
215	16406.96569
216	16361.17932
217	16353.03172
218	16305.91596
219	16270.0939
220	16219.44762
221	16208.97102
222	16177.68096
223	16125.96327
224	16074.98122
225	16066.51291
226	16029.33884
227	15984.01766
228	15951.02869
229	15942.2329
230	15908.43234
231	15873.45031
232	15849.93476
233	15840.24793
234	15809.09381
235	15770.51159
236	15741.33164
