iter	RMSE
0	75104.45824
1	73428.26319
2	71850.19536
3	70129.45656
4	68457.75988
5	66854.05263
6	65371.01481
7	63805.63625
8	62273.9991
9	60838.70423
10	59553.81928
11	58255.27552
12	56890.49788
13	55661.51352
14	54403.85501
15	53247.22935
16	52161.77052
17	50980.76026
18	50015.35963
19	49087.96382
20	48153.6168
21	47174.95749
22	46211.20344
23	45368.62257
24	44522.49109
25	43739.86735
26	43019.39461
27	42270.44054
28	41499.18189
29	40904.60989
30	40189.53813
31	39540.38691
32	38942.71969
33	38324.42885
34	37826.8781
35	37334.11158
36	36733.96744
37	36223.29648
38	35667.25874
39	35094.1639
40	34635.55021
41	34147.84483
42	33739.88279
43	33338.87192
44	32934.19097
45	32561.50412
46	32122.73048
47	31799.33489
48	31446.26038
49	31155.44429
50	30861.24666
51	30558.07883
52	30258.50409
53	29980.06345
54	29658.42447
55	29359.27362
56	29024.65914
57	28785.28672
58	28526.68666
59	28251.17654
60	27952.00283
61	27714.24935
62	27486.69841
63	27231.08293
64	26970.04021
65	26754.48806
66	26497.80572
67	26303.93956
68	26120.95017
69	25933.74833
70	25743.78426
71	25573.82607
72	25398.54617
73	25194.68341
74	25048.86494
75	24875.98222
76	24718.93759
77	24556.42155
78	24386.44451
79	24198.009
80	24070.10375
81	23936.99756
82	23799.08511
83	23666.22425
84	23520.3948
85	23393.80729
86	23263.22236
87	23138.53015
88	23019.79203
89	22855.82037
90	22712.75863
91	22636.83541
92	22538.66544
93	22405.64991
94	22283.45981
95	22178.33554
96	22064.8208
97	21965.01814
98	21877.85734
99	21801.097
100	21737.8567
101	21631.39859
102	21539.76865
103	21466.58386
104	21366.16543
105	21256.17851
106	21204.20313
107	21143.29192
108	21063.53553
109	20962.00863
110	20882.14126
111	20811.37585
112	20773.40271
113	20703.59084
114	20634.6353
115	20558.04384
116	20447.20392
117	20366.86802
118	20327.8933
119	20256.00933
120	20235.59876
121	20144.61445
122	20076.52934
123	20005.82776
124	19951.42044
125	19887.51966
126	19830.53739
127	19748.92703
128	19684.63777
129	19595.66743
130	19533.61602
131	19465.51201
132	19425.3974
133	19366.32229
134	19287.36647
135	19218.73481
136	19142.26493
137	19094.19493
138	19047.1359
139	18982.53459
140	18927.58524
141	18882.54971
142	18854.52916
143	18825.39762
144	18761.74014
145	18712.09493
146	18683.35812
147	18629.14446
148	18553.24004
149	18478.36121
150	18413.61734
151	18354.80101
152	18317.06563
153	18247.45252
154	18210.20601
155	18172.841
156	18148.06208
157	18098.66422
158	18049.48118
159	17979.02235
160	17940.32631
161	17881.70537
162	17820.11491
163	17805.41134
164	17757.66973
165	17706.09705
166	17669.20769
167	17619.21645
168	17577.70786
169	17565.39346
170	17542.59038
171	17530.69387
172	17492.60739
173	17444.36398
174	17398.63957
175	17378.47315
176	17342.01158
177	17325.64273
178	17283.04425
179	17262.47151
180	17220.68051
181	17167.51334
182	17114.58438
183	17082.3925
184	17068.44069
185	17021.68847
186	16970.97432
187	16940.57598
188	16931.74059
189	16894.09424
190	16879.90437
191	16853.93167
192	16823.05596
193	16807.79162
194	16778.35387
195	16730.07482
196	16696.55001
197	16657.39461
198	16641.53528
199	16596.03816
200	16584.67908
201	16542.87585
202	16529.44715
203	16518.23461
204	16507.73
205	16454.24501
206	16443.76985
207	16423.44412
208	16384.51103
209	16342.95419
210	16330.73502
211	16280.81749
212	16269.29642
213	16226.00626
214	16212.12577
215	16203.40298
216	16161.64435
217	16129.26834
218	16115.99558
219	16106.20842
220	16070.85906
221	16034.31723
222	15998.40405
223	15975.3274
224	15927.13481
225	15884.78145
226	15873.79035
227	15831.53801
228	15802.45946
229	15758.76951
230	15723.70683
231	15681.59694
232	15652.69449
233	15626.28519
234	15575.02654
235	15550.32512
236	15516.55658
237	15479.44293
238	15453.8844
239	15422.04595
240	15387.31752
241	15369.26992
242	15339.93133
243	15331.31337
244	15281.49028
245	15250.15736
246	15230.45447
247	15195.62755
248	15163.93692
249	15128.22008
250	15098.39279
251	15065.98562
252	15023.88055
253	14981.71767
254	14974.9369
255	14950.72708
256	14929.89952
257	14886.10187
258	14844.157
259	14804.08244
260	14774.6613
261	14731.24214
262	14724.49336
263	14703.05205
264	14696.80901
265	14663.60147
266	14628.20241
267	14598.55018
268	14573.82183
269	14531.25793
270	14502.56588
271	14496.99741
272	14463.12688
273	14437.68089
274	14431.00255
275	14413.65057
