iter	Passed	Remaining
0	54	54821
1	56	28086
2	57	19119
3	61	15243
4	63	12564
5	64	10687
6	65	9354
7	67	8337
8	69	7690
9	74	7387
10	76	6914
11	80	6641
12	81	6205
13	83	5862
14	84	5539
15	85	5263
16	86	5023
17	87	4795
18	88	4591
19	89	4406
20	90	4240
21	91	4089
22	93	3971
23	94	3848
24	95	3732
25	96	3624
26	97	3523
27	98	3431
28	100	3348
29	100	3264
30	102	3188
31	102	3114
32	104	3049
33	105	2986
34	106	2926
35	107	2870
36	108	2817
37	109	2768
38	110	2721
39	111	2676
40	112	2635
41	113	2592
42	114	2553
43	115	2517
44	116	2482
45	118	2449
46	120	2444
47	121	2411
48	122	2380
49	123	2353
50	125	2326
51	126	2297
52	127	2269
53	128	2242
54	128	2216
55	130	2191
56	131	2168
57	132	2146
58	133	2124
59	134	2103
60	135	2082
61	136	2062
62	137	2043
63	138	2024
64	139	2004
65	140	1985
66	141	1968
67	142	1951
68	143	1934
69	144	1918
70	145	1904
71	146	1889
72	147	1873
73	148	1859
74	149	1844
75	150	1830
76	151	1817
77	152	1805
78	153	1792
79	154	1780
80	155	1767
81	156	1755
82	157	1743
83	158	1731
84	159	1719
85	160	1708
86	161	1697
87	162	1687
88	163	1677
89	164	1667
90	165	1656
91	166	1646
92	167	1636
93	168	1626
94	169	1617
95	170	1608
96	171	1599
97	173	1595
98	174	1587
99	176	1589
100	177	1583
101	178	1575
102	179	1567
103	181	1559
104	182	1553
105	183	1545
106	185	1547
107	186	1542
108	187	1535
109	188	1527
110	189	1519
111	190	1512
112	191	1506
113	192	1499
114	193	1492
115	194	1485
116	195	1479
117	197	1472
118	198	1466
119	199	1459
120	200	1453
121	201	1447
122	202	1441
123	203	1434
124	204	1429
125	205	1423
126	206	1417
127	207	1411
128	208	1405
129	209	1399
130	210	1394
131	211	1388
132	212	1382
133	213	1381
134	215	1377
135	216	1376
136	219	1379
137	220	1374
138	221	1369
139	222	1364
140	224	1366
141	227	1376
142	228	1371
143	229	1366
144	230	1361
145	232	1357
146	232	1351
147	233	1346
148	236	1347
149	237	1343
150	238	1338
151	239	1334
152	240	1329
153	241	1325
154	242	1320
155	243	1315
156	244	1310
157	245	1306
158	246	1302
159	247	1297
160	248	1293
161	249	1289
162	250	1284
163	250	1278
